COUNT	owner
1	27/F HOPEWELL CENTRE 183
1	Strad Solutions
1	Carnival Internet
1	PT SELARAS CITRA TERABIT
1	Realtel Network Services Pvt Ltd
1	ReadyIDC CO.,LTD.
1	Cloudware Technologies Private Limited
1	CUSTOMERS USAGE
1	Slnet Hosting Service
1	ServeNet Solution Limited Partnership
1	United Information Highway Co.,Ltd.
1	PT Atha Internet Nusantara
1	Transferred to the ARIN region on 2022-04-14T08:04:28Z.
1	ABS/SMA-Indonesia
1	Terranet India Pvt. Ltd
1	Computer Complex Network
1	PT Mora Telematika Indonesia
1	PT Link Data Sumber Barokah
1	Vortex Netsol Private Limited
1	Sigaram Networks Pvt Ltd
1	PT Widya Intersat Nusantara
1	JBCP-BD-HostClient
1	Today Vision
1	Hostwinds LLC. (HL-29)
1	Aliyun Computing Co., LTD
1	LG DACOM Corporation
1	Atria Convergence Technologies Pvt. Ltd.,
1	South Slope Cooperative Telephone Company (SSCT-2)
1	Ace Data Centers, Inc. (ADC-96)
1	RIPE-NCC-HM-MNT
1	Dediserve Dubai
1	Wirac.net d.o.o
1	MNT-CONTABO
1	vultris
1	MNT-NETART
1	TIMEWEB-NET
1	Vodafone Static B2B Customer Pool
1	Bharti Airtel Services Limited
1	OPTUS INTERNET - RETAIL
1	LG DACOM KIDC
2	CHINANET henan province network
2	Data Communication Business Group,
2	LSN STREAMYX-KU
2	Amazon.com, Inc. (AMAZO-4)
2	IsoTropic Networks, Inc. (ISOTR-1)
2	RIPE Network Coordination Centre (RIPE)
2	Hostopia Australia Pty Ltd
2	Republic Telecom
2	DREAMMARK1
2	VPS Hostafrica
2	HA-VPS-NET
2	DATATECH SARL
2	BOTSWANA RESEARCH AND EDUCATION NETWORK SOCIETY
2	Silicon Sky Consulting (PTY) LTD
2	HOSTING
2	ST DIGITAL CMR INFRASTRUCTURE
2	MTN Nigeria
2	PT Sumber Data Indonesia
2	FUTURISTIC INTERNET SERVICES PRIVATE LIMITED
2	Mediatech Communication Pvt.ltd.
2	PT Dimensi Jaringan Bersinar
2	PT DUTA VISUAL NUSANTARA TIVI TUJUH
2	Realnet Telecom Pvt Ltd
2	MOC LAM TRADING AND SERVICES JOINT STOCK COMPANY
2	RAMPANT TECHNOLOGY PTY. LTD.
2	CepatNet
2	PT JAVA MEDIANET TEKHNOLOGI
2	Alpha Net
2	City Link Communication
2	Ewebguru
2	WEBSKITTERS TECHNOLOGY SOLUTIONS PVT LTD
2	Symphony Communication Plc.
2	Cloud Viet Technology Company Limited
2	PT PRISMA MEDIA NUSANTARA
2	365 Group LLC
2	PT Ikhlas Cipta Teknologi
2	PT Tonggak Teknologi Netikom
2	PT Fokus Inovasi Faradisa Abadi
2	Orange Communication
2	Nextgen Broadband Private Limited
2	PT Viriya Surya Abadi
2	Fibercom
2	PT Lintas Satu Visi
2	KEEP SECURE CLOUD SERVICES PVT LTD
2	Conexia Broadband Llp
2	A S C S C DIGITAL PRIVATE LIMITED
2	PT Digital Akses Nusantara
2	PT Inovasi Digital Telekomunikasi
2	PT Integrasi Jaringan Ekosistem
2	Nebula Systems Sdn Bhd (AS147040)
2	PT Beibi Cemerlang Indonesia
2	PT Selaras Citra Artmedia
2	PT Pusaka Kreasi Mandiri
2	PT Tele Globe Global
2	Z S NET
2	CV Bilqis Network
2	UPNET (PRIVATE) LIMITED
2	FIBER TECHNOLOGY LIMITED
2	Windstream Communication Limited
2	PT Linkbit Inovasi Teknologi
2	PT Magna Network
2	SLC-103-21-0-0
2	SMART NET INDIA PVT LTD
2	PT Inhqi Media Infotek
2	K Net Solutions Pvt Ltd
2	INAAYA IT SOLUTIONS
2	PT Twins Data Pratama
2	GoDaddy.com, LLC (GODAD)
2	TELUS Communications Inc. (TACE)
2	UK2 Infrastructure
2	Mobile Business Group
3	Verizon Business (MCICS)
4	PT Mitra Lintas Multimedia
4	Hosteons.com
4	I Link Internet Service (I.T)
4	North Bengal Online
4	NhanHoa Software company
4	Link Technologies
4	Chandina Online
4	Cloud Bd Communication
4	PT Global Koneksi Investama
4	Devdarpan Broadband Pvt. Ltd.
4	National Wimax/IMS environment
5	NR Link
6	SK Broadband Co Ltd
6	Nawatech Pty Ltd
7	Hello Tech Limited
8	SCN BD
16	PT Global Media Pratama Solusindo
